분류 ,질문,답변
자동차 등록 및 이전,신차구입시 구비서류가 어떻게 되나요?,"※ 각 지자체 시,군,구청 자동차과 또는 차량등록사업소 별로 요청하는 서류가 다를 수 있으니 정확한 문의 후 방문하시기 바랍니다."
자동차 등록 및 이전,온라인 이전등록시 심사관청은 무엇입니까?,심사관청이란 온라인 이전등록을 할 때 서류를 심사하고 세금을 부과하는 관청입니다.  
자동차 등록 및 이전,법인차량 이전등록 시 절차가 어떻게 되나요?,"※ 각 지자체 시,군,구청 자동차과 또는 차량등록사업소로 정확한 문의 후 방문하시기 바랍니다.     
법인 간 이전등록 처리시 절차 안내입니다.  
절차 : 이전등록접수취등록세고지서 수령 및 납부공채 및 수입인지 구입등록증 교부  구비서류                
- 공통 제출 서류: 이전등록신청서,자동차양도증명서        
- 양도인(법인) 구비서류 : 자동차매도용 법인인감증명서,법인인감도장,등기부등본 및 사업자등록증 사본,   양도증명서 법인인감도장 날인     
- 양수인(법인) 구비서류 : 법인인감증명서,법인인감도장,등기부등본 및 사업자등록증 사본,   법인 대표자 또는 법인 대리(위임)인 신분증
  ※ 양수 법인 대표 미 방문 시 위임장(법인인감도장 날인)제출  
※ 양도증명서 특약사항 작성 시: 양수 법인인감도장 날인 "
자동차 등록 및 이전,법인업체 파산되었는데 이전등록이 가능한가요?,"폐업이어도 등기부등본과 인감이 말소되지 아니한 경우 가능하며, 말소 처리가 되었다면 법원에 파산 관제인(또는 청산인 지정) 신청 후 이전등록이 가능합니다."
자동차 등록 및 이전,소유자 사망시 구비서류 문의,"소유자 사망시 상속받은 자가 폐차 처리하거나,상속자가 상속 포기시 상속포기각서 및 각각의 신분증 사본 필요"
자동차 등록 및 이전,트레일러 차량번호판 추가 등록하려합니다. 어떻게 해야하나요?,"※ 각 지자체 시,군,구청 자동차과 또는 차량등록사업소로 정확한 문의 후 방문하시기 바랍니다.  가까운 차량등록사업소 또는 시,군,구청 자동차과 방문하여 번호판 추가 등록하시면 됩니다"
자동차 등록 및 이전,"법인차량의 주소, 상호 변경을 인터넷으로 신청하려면 어떻게 하나요? (중복 질문 포함)",법인차량의 소재지 변경 신고 및 상호 변경은 기업지원플러스를 이용하시면 신청 가능합니다
자동차 검사 및 정비(관리),자동차검사란 무엇인가요?,"운행중인 자동차의 안전도 적합여부 및 배출가스 허용기준 준수여부 등을 확인하여 교통사고와 환경오염으로부터 국민의귀중한 생명과 재산을 지키는 중요한 사업입니다.   
자동차검사에 더 궁금한 사항이 있으시면 1577-0990번으로 문의하시면 자세한안내를 받으실수 있습니다."
자동차 검사 및 정비(관리),자동차 종합검사와 정기검사는 어떻게 다른 가요?,"그 동안 각각 받아오던 자동차 정기검사와 배출가스 정밀검사 및 특정경유자동차의 검사항목을 하나의 검사로 통합하고, 중복된 절차(검사대상, 검사주기, 검사절차, 검사유효기간, 검사유예, 과태료 등)로 인한 국민의 불편을 해소하기 위하여 통합하여 시행하는 제도입니다.  (자동차관리법 개정'08.3.28' 공포, '09.3.29' 시행) 
자동차종합검사는 기존 배출가스 정밀검사 시행지역에 등록된 자동차에 대하여 안전도 분야와 부하검사방법에 의한 배출가스 검사를 시행하고, 자동차 정기검사는 기존과 같이 안전도 분야와 무부하검사방법에 의한 배출가스 검사를 시행하게 됩니다.   "
자동차 검사 및 정비(관리),자동차검사 기간 문의,"자동차 검사 기간은 자동차등록증에 검사 유효기간 기간이 기재되어 있습니다. 또한 한국교통안전공단 홈페이지 ""고객참여->자동차검사->자동차검사 날짜 조회""에서도 확인할 수 있습니다. 자동차 정기검사 및 종합검사는 자동차관리법에 따라 검사유효기간 만료일 전후 각각 31일 이내에 받아야 합니다. 한국교통안전공단 홈페이지에서 인터넷으로 예약 및 전화예약(1577-0990)으로도 가능합니다."
자동차 검사 및 정비(관리),자동차검사는 꼭 등록지역에서만 가능한가요?,"자동차검사는 전국 어느 곳에서나 가능합니다. 다만, 귀하차량이 등록된 지역이 운행차 배출가스 정밀검사(종합검사)대상지역인 경우에는 배출가스 정밀검사 시설이 설치된 검사소에서 검사를 받으셔야 합니다.   
참고로 가까운 공단 검사소 안내는 검사소 대표번호 1577-0990을 이용하시기 바랍니다."
자동차 검사 및 정비(관리),자동차검사시 등록증필수인가요?,"자동차등록증은 필수입니다.

혹시라도 자동차등록증이 없을 경우 팩스나 사본 인정되는지 문의 후 방문하시는게 좋습니다."
자동차 검사 및 정비(관리),온라인 정기/종합검사유효기간연장(유예신청) 방법이 어떻게 되나요?,"온라인 정기/종합검사유효기간연장(유예)신청 절차는 아래와 같습니다.[본인차량만 가능] 
① 준비사항 : 공동인증서. (신청시간제한없음)
② 메뉴 [민원찾아요]-[온라인민원신청]-[등록민원][6. 정기/종합검사유효기간연장(유예)신청] 에서 입력. PDF파일 형식 : 연장사유에 해당되는 증빙서류 필수 첨부. 관련 서류는 해당관청으로 별도문의
③ 등록 후 해당관청에서 최종 심사 완료 후 연장완료됨."
자동차 검사 및 정비(관리),어떤 경우에 검사 유효기간을 연장할 수 있나요?,"전시·사변 또는 이에 준하는 비상사태로 인하여 관할지역에서 종합검사 업무를 수행할 수 없다고 판단되는 경우,   자동차를 도난당한 경우,   사고발생으로 인하여 자동차를 장기간 정비할 필요가 있는 경우,   『형사소송법』등에 따라 자동차가 압수되어 운행할 수 없는 경우,   면허취소 등으로 인하여 자동차를 운행할 수 없는 경우 및 그 밖에 부득이한 사유로 자동차를 운행할 수 없다고 인정되는 경우, 자동차 소유자가 폐차를 하려는 경우 유효기간 연장 등에 관한 문의 및 신청 관련업무는 당해 자동차가 등록된 관할관청에서 담당하고 있습니다.     
자동차검사에 더 궁금한 사항이 있으시면 1577-0990번으로 문의 하시면 자세한 안내를 받으실 수 있습니다."
자동차 검사 및 정비(관리),자동차 정비 이력 서비스에서 어떤 내용을 알수 있나요?,"※ 본인 소유 차량에 대한 자동차 정비이력의 내역 차량번호,정비업체 명,업체전화번호,정비 책임자,정비 내역,정비 완료 일자에 대한 변경 내역을 확인할 수 있습니다. 단 정비업체에서 등록한 이력이 있어야만 확인가능하며 오류인경우 해당 정비업체로 수정 요청하시면 됩니다  "
자동차 검사 및 정비(관리),사고로 차량 파손시 차대번호가 훼손되어 채타각해야 한다고 한다. 어디서 해야하나요?,"차대번호 재 타각시 공단 검사소에서 처리해주며,재 타각시 재타각 기록이 남습니다."
제증명 발급 및 조회 (민원),자동차 등록원부는 어떻게 발급 받나요?,"※ 자동차등록원부는 차량번호와 현소유주명을 알고 있어야 발급 가능합니다.
자동차등록원부 발급 경로
    자동차365>자주찾는 메뉴>자동차 등록원부 클릭하시거나 자동차365 사이트 왼쪽 상단 민원찾아요>온라인민원신청>발급열람민원>자동차등록원부 등본(초본)발급, 열람신청 안내"
제증명 발급 및 조회 (민원),법인차량의 자동차등록원부를 발급받을려면?,"법인(사업자) 소유의  자동차등록원부는 자동차등록번호와 자동차등록증 상 소유자의 성명(명칭)을 정확히 입력하면 신청 가능합니다.  
※ 신청 방법 : 사용자 확인(신청자 개인 정보로 사용자 확인) > 등록원부 신청 화면에서 차량번호와 자동차등록증 상의 소유주명 정확히 입력 > 신청

법인(사업자) 소유의  자동차등록원부는 자동차등록번호와 자동차등록증 상 소유자의 성명(명칭)을 정확히 입력하면 신청 가능합니다.  
※ 신청 방법 : 사용자 확인(신청자 개인 정보로 사용자 확인) > 등록원부 신청 화면에서 차량번호와 자동차등록증 상의 소유주명 정확히 입력 > 신청

 법인(사업자) 소유의  자동차등록원부는 자동차등록번호와 자동차등록증 상 소유자의 성명(명칭)을 정확히 입력하면 신청 가능합니다.  
※ 신청 방법 : 사용자 확인(신청자 개인 정보로 사용자 확인) > 등록원부 신청 화면에서 차량번호와 자동차등록증 상의 소유주명 정확히 입력 > 신청

 법인(사업자) 소유의  자동차등록원부는 자동차등록번호와 자동차등록증 상 소유자의 성명(명칭)을 정확히 입력하면 신청 가능합니다.  
※ 신청 방법 : 사용자 확인(신청자 개인 정보로 사용자 확인) > 등록원부 신청 화면에서 차량번호와 자동차등록증 상의 소유주명 정확히 입력 > 신청

 법인(사업자) 소유의  자동차등록원부는 자동차등록번호와 자동차등록증 상 소유자의 성명(명칭)을 정확히 입력하면 신청 가능합니다.  
※ 신청 방법 : 사용자 확인(신청자 개인 정보로 사용자 확인) > 등록원부 신청 화면에서 차량번호와 자동차등록증 상의 소유주명 정확히 입력 > 신청

 법인(사업자) 소유의  자동차등록원부는 자동차등록번호와 자동차등록증 상 소유자의 성명(명칭)을 정확히 입력하면 신청 가능합니다.  
※ 신청 방법 : 사용자 확인(신청자 개인 정보로 사용자 확인) > 등록원부 신청 화면에서 차량번호와 자동차등록증 상의 소유주명 정확히 입력 > 신청"
제증명 발급 및 조회 (민원),자동차 등록증 재발급은 어떻게 받나요?,"※ 개인 소유 차량에 대해 재발급 가능합니다.(법인 차량 이용 불가)
자동차등록증 재발급 경로
    자동차365>민원찾아요>온라인민원신청>발급열람민원>자동차 등록증 재발급 클릭하시면 발급화면으로 넘어갑니다.
자동차365 대민포털에서는 직접출력이나 PDF 저장가능하나, 등기 우편 또는 관청 내방 수령 방법은 정부24를 이용하시기 바랍니다."
제증명 발급 및 조회 (민원),법인 차량의 자동차등록증을 재발급받을려면?,"※ 자동차민원대국민포털에서 법인 차량의 등록증 재발급은 불가능합니다.
법인 차량의 자동차등록증 재발급 신청 방법입니다.  
1. 정부24에서 신청   > 우편 수령 또는 관청 내방 직접 수령 중 선택 가능  
2. 관청(시군구청 교통행정과)으로 직접 신청    "
제증명 발급 및 조회 (민원),자동차세 완납증명서 발급하려고합니다. 어떻게 발급신청 하나요?,
제증명 발급 및 조회 (민원),자동차세 완납 증명서 발급은 어디에서 조회하나요?,"자동차세 완납한 내역에 대한 조회는 위택스로 확인하시면 됩니다.
증명서발급은 해당구청 세무과로 문의하셔야 합니다."
제증명 발급 및 조회 (민원),내 명의로 등록되어 있는 차량번호를 확인하고 싶어요. 어떻게 해야하나요?,"자동차등록원부 신청화면에서 본인차량조회시 체크 박스에 체크를 하면 소유한 차량 리스트를 확인할 수 있습니다.
보유한 차량이 1대일 경우 등록번호란에 차량번호 기재되어 보이고, 2대 이상일 경우 선택 버튼이 활성화 됩니다.
자동차365 >자주찾는메뉴 > 자동차등록원부 또는 자동차365>민원찾아요>온라인민원신청> 발급열람민원 >자동차등록원부 등본(초본)발급, 열람신청 입니다."
제증명 발급 및 조회 (민원),정보연계가 되지 않아 신청이 불가능합니다 라는 메시지와 함께 신청이 되지 않습니다. (시스템 오류 관련),"일시적으로 전산망으로 확인되는 실명연계가 중단되어 민원신청이 안되는 경우입니다.      
잠시후 다시 신청을 해주시기 바랍니다. "
세금·압류·과태료 (체납 관리),제 차에 대한 압류 및 체납정보를 확인하고 싶어요. 어떻게 확인할 수 있나요?,자동차365→중고차의모든것→통합이력조회->본인차량조회 메뉴에서 압류내역은 확인가능하며 체납정보는 확인이 불가합니다 압류건에 대한 해제및 문의는 압류를 등록한 기관으로 직접 문의하시기 바랍니다  
세금·압류·과태료 (체납 관리),차량의 압류 및 저당권 설정 정보를 어떻게 확인하나요?,자동차365→중고차의모든것→통합이력조회->본인차량조회 메뉴에서 압류내역은 확인가능하며 체납정보는 확인이 불가합니다 압류건에 대한 해제및 문의는 압류를 등록한 기관으로 직접 문의하시기 바랍니다      
세금·압류·과태료 (체납 관리),중고차 구매 예정 차량의 압류정보를 확인하고 싶습니다.," 본인 명의가 아닌 차량의 압류 및 저당권 설정 정보 확인 하는 방법은 세가지입니다.
1. 자동차등록원부 발급 및 열람시 갑부에서 해당 내용을 확인할수 있습니다.
- 다만, 차량번호와 자동차 등록장 상 소유주 며칭을 동일하게 입력하셔야만 조회가 가능합니다.
2. 자동차이력조회 > 공개 동의 차량조회 시 압류등록정보,저당권등록이력 내용 확인할수 있습니다.
- 다만,소유주가 타인 조회에 동의를 하셔야만 조회가 가능하며, 차량기본사항,정비이력,중고차성능점검,검사이력,주행거리이력,
자동차세체납,의무보험가입정보 등을 같이 확인할 수 있습니다.
3. 자동차이력조회 > 공개 미동의 차량조회 시 압류건수,저당건수만 확인할수 있습니다.
- 다만, 공개 미동이 차량 조회 시 차량기본사항, 의무보험가입여부, 자동차세체납횟수, 중고차성능상태점검 횟수, 검사이력의 횟수 까지만 확인하실 수 있습니다."
세금·압류·과태료 (체납 관리),자동차 과태료가 미납되어 차량에 압류가 되어 있습니다. 어디로 납부하면 되나요?," 자동차 범칙금 미납은 경찰청교통민원24에서 조회 및 납부가 가능합니다.   
또한, 최근 무인 단속 내역 및 기납부 범칙금 내역에 대한 조회도 가능합니다.              
경찰청교통민원24 바로가기"
세금·압류·과태료 (체납 관리),자동차 범칙금이 미납되어 차량에 압류가 되어 있습니다. 어디로 납부하면 되나요?," 자동차 범칙금 미납은 경찰청교통민원24에서 조회 및 납부가 가능합니다.   
또한, 최근 무인 단속 내역 및 기납부 범칙금 내역에 대한 조회도 가능합니다.              
경찰청교통민원24 바로가기"
폐차,폐차시 구비서류가 어떻게 되나요?," ※ 폐차는 꼭 관청에서 등록된 관허폐차장에서 해야하며 폐차시 필히 폐차인수증명서를 발급 받으셔야 합니다.   
    - 개인일 경우:자동차등록증,신분증(주민등록증,여권,운전면허증),인감증명서   
    - 법인일 경우:자동차등록증,신분증(주민등록증,여권,운전면허증),법인인감증명서,사업자등록증 혹은 법인등기부등본   
    **대리인 방문시 : 소유주신분증사본,위임장,방문자신분증사본차량의 부품 탈거와 관련한 폐차 처리 가능 여부는 폐차장으로
                           전화 상담 후 방문하시기 바랍니다."
폐차,폐차 처리를 아무곳이나 맡겨도 되나요?,"※ 폐차는 꼭 관청에서 등록된 관허폐차장에서 해야하며 폐차시 필히 폐차인수증명서를 발급 받으셔야 합니다.
무등록업체에 폐차를 의뢰할 경우에는 폐차인수증명서 발급을 받지못 할 뿐 아니라 자동차등록 말소 처리가 되지않아 자동차세 체납 및 책임보험과태료 등의 문제가 발생하 수 있습니다.  법적근거 ［자동차 관리법 제13조］"
폐차,폐차 이후 말소등록을 안 하면 어떻게 되나요?,"말소등록을 완료해야만 더 이상 자동차세,검사,의무보험미가입과태료 등이 부과되지 않습니다. 
다만,폐차 이후 7개월 이내 관할 시·도 등록관청에 말소등록을 하지 않으면 과태료(50만원)가 부과됩니다.
법적근거［자동차관리법 제84조 제1항 제1호,자동차관리법 등록규칙 제38조］   
폐차사업장에서는 자동차 차주의 편의를 위해 차주의 요구 시 의무적으로 말소등록 신청을 대행하도록 되어 있습니다.(대행비용은 자동차 소유자 부담)"
폐차,폐차후 보험료의 환급 및 승계 처리는 어떻게 하나요?,"말소등록 후 말소증명원을 발급 받아 보험회로 부터 보험가입 기간 중 말소일 이후의 남은 기간의 보험료를 돌려받거나 새 차로 이전이 가능합니다.
보험료를 환급 받고자 한다면 자동차 등록원부(갑)와 차주 통장사본(앞면)을 해당보험사에 제출하면 됩니다."
기타/법규/용어,장애등급 보유자가 혜택 받고 등록할 수 있는 차량은 몇 대까지인가요?,"장애인 차량 등록의 경우   대상자 본인 또는 대상자인 본인과 주민등록상 세대를 같이 하는 배우자,직계존속,직계비속,직계비속의 배우자,형제자매와 공동으로 등록하는 자동차 중 감면 신청하는 1대가 가능합니다. 또한 LPG자동차의 사용은 장애인이 아닌 세대를 같이하는 보호자 단독명의로도 등록 가능하지만,이 경우에는 세금 혜택이나 지역개발공채 감면등은 불가능하니 주의하셔야 합니다."
기타/법규/용어,장애인차량 소유자입니다. 중고차 구입 후 언제부터 매매가 가능한가요?,"장애인 차량 구입 시 취득 후, 만1년이 지난 후 장애인 차량으로 매매시 패널티는 없습니다.
그러나 일반인에게 매매는 만5년 이후에 가능하며,개별소비세(국세청)의 경우 조건부로 면세를 받았기 때문에 취득 후 5년 이내에 양도를 하면 양도시 과세표준(판매금액에 준하는 금액)을 기준으로 세율을 적용하게 됩니다.
개별소비세 관련한 추징금은 국세청 (126번)으로 문의하시기 바랍니다."
기타/법규/용어,자동차 운행정지 명령 신청 방법이 궁금해요,"자동차 운행정지 명령 신청 절차는 아래와 같습니다.     [본인차량 신고만 가능, 문의 및 해제는 등록관청으로 문의]     
① 준비사항 : 공동인증서. (신청시간제한없음)     
② http://www.car365.go.kr의 메뉴 [민원찾아요]-[온라인민원신청]-[불법운행자동차신고]-[자동차 운행정지요청] 에서 입력.     
③ 등록 후 해당관청에서 최종 심사 완료 승인 시 등록완료됨. "
기타/법규/용어,"불법주정차, 장애인 전용주차구역 불법주차 신고 관련","생활불편 스마트폰신고앱에서 사진 촬영 후 신고하시거나 가까운 시,군,구청 민원실로 신고 처리 가능하십니다."
기타/법규/용어,차량현물출자자가 어떤 뜻인가요?,"현물 출자등록이란, 차량에 대하여 차주가 현물로 출자를 했다는 것을 증명해주는 것으로,자동차등록증 원부상에 표기되어 집니다. 이는 운수회사에서 자추의 동의 없이 차량을 이용하여 담보대출이나 매매등 혹시 모를 운수회사의 횡포나 부실 또는 부당행위로 인한 압류등에서 차량에 대한 지입차주에게 우선한다는것을 명시해주는 것입니다."
기타/법규/용어,"중고차 구매 예정인데, 판매상이 협회에 등록 되어 있는 업체인지 확인 할 수 있나요?","가능합니다.
자동차365 사이트 내에 중고차매매→중고차시장 클릭하시면 회원사 조회가 가능합니다.



 

(사)전국자동차매매사업조합연합회 와 한국자동차매매사업조합연합회 에서 운영하는 홈페이지를 통해
소속된 회원사를 찾으실 수 있습니다."
